cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,corner,cmiss,time
spin_glass_n163,Z12,37309,default,1,11.417,13,1.0,12.23,9,133,1,0,0,0,37.0,True,0,0,0,,49.2
spin_glass_n163,Z12,37309,default,2,11.417,13,0.96,11.84,9,133,1,0,0,0,37.0,True,0,0,0,,47.4
spin_glass_n163,Z12,37309,conv,0,11.104,13,0.95,12.34,9,133,1,0,0,0,37.0,True,0,0,0,0,51.9
spin_glass_n163,Z12,37309,conv,1,11.104,13,1.03,12.11,9,133,1,0,0,0,37.0,True,0,0,0,0,48.5
spin_glass_n163,Z12,37309,conv,2,11.104,13,1.02,11.58,9,133,1,0,0,0,37.0,True,0,0,0,0,49.7
regular_n316,Z12,13096,default,0,2.731,6,1.06,9.15,9,82,2,0,0,0,17.0,False,0,17,18,,60.0
regular_n316,Z12,13096,default,1,2.788,7,2.92,8.59,9,82,2,0,0,0,17.0,False,1,17,18,,60.7
regular_n316,Z12,13096,default,2,2.953,7,2.51,8.62,9,82,2,0,0,0,17.0,False,0,17,18,,60.4
regular_n316,Z12,13096,conv,0,2.715,6,0.79,8.24,9,82,2,0,0,0,17.0,False,0,10,0,16,60.1
regular_n316,Z12,13096,conv,1,2.718,6,0.61,9.6,9,82,2,0,0,0,17.0,False,0,10,0,16,60.0
regular_n316,Z12,13096,conv,2,2.775,6,0.54,8.56,9,82,2,0,0,0,17.0,False,0,10,0,16,60.0
ws_n486,Z12,17188,default,0,2.597,9,0.72,29.2,11,355,1,0,0,0,19.0,False,0,32,23,,60.0
ws_n486,Z12,17188,default,1,2.751,9,0.4,30.73,11,325,1,0,0,0,19.0,False,0,32,23,,60.0
ws_n486,Z12,17188,default,2,2.436,8,0.29,29.68,11,320,1,0,0,0,19.0,False,0,32,23,,60.0
ws_n486,Z12,17188,default,3,2.512,8,0.39,29.77,11,254,1,0,0,0,19.0,False,0,32,23,,60.0
ws_n486,Z12,17188,default,4,2.521,8,0.37,29.62,11,250,1,0,0,0,19.0,False,0,32,23,,60.0
ws_n486,Z12,17188,default,5,2.77,8,0.2,29.77,11,229,1,0,0,0,19.0,False,0,32,23,,60.0
