cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
ws_n486,Z12,17188,noclamp,7,2.809,10,9.06,20.84,22,404,11,0,0,0,34.0,False,1,60.0
ws_n486,Z12,17188,noclamp,8,2.934,10,7.46,22.04,22,446,11,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,noclamp,9,2.786,9,4.23,25.31,23,522,12,0,0,0,34.0,False,0,60.0
grid_200,Z12,1590,default,0,1.015,2,0.31,7.36,12,292,3,0,0,0,3.0,False,0,20.7
grid_200,Z12,1590,default,1,1.055,2,0.2,5.22,12,292,3,0,0,0,3.0,False,0,23.4
grid_200,Z12,1590,default,2,1.04,2,0.06,4.76,12,292,3,0,0,0,3.0,False,0,16.8
grid_200,Z12,1590,noclamp,0,1.03,2,0.06,4.61,8,274,1,0,0,0,3.0,False,0,18.6
grid_200,Z12,1590,noclamp,1,1.03,2,0.06,4.59,8,274,1,0,0,0,3.0,False,0,18.8
grid_200,Z12,1590,noclamp,2,1.035,2,0.06,4.62,8,274,1,0,0,0,3.0,False,0,18.0
honeycomb_200,Z12,32393,default,0,1.09,2,0.15,2.69,9,117,1,0,0,0,8.0,False,0,21.9
honeycomb_200,Z12,32393,default,1,1.095,2,0.04,2.68,9,117,1,0,0,0,8.0,False,0,22.8
honeycomb_200,Z12,32393,default,2,1.065,2,0.04,2.67,9,117,1,0,0,0,8.0,False,1,43.5
honeycomb_200,Z12,32393,noclamp,0,1.055,2,0.03,2.22,7,96,2,0,0,0,8.0,False,0,17.9
honeycomb_200,Z12,32393,noclamp,1,1.09,2,0.02,2.24,7,96,2,0,0,0,8.0,False,0,24.3
honeycomb_200,Z12,32393,noclamp,2,1.085,2,0.04,2.22,7,96,2,0,0,0,8.0,False,0,20.9
king_graph_196,Z12,32622,default,0,1.49,3,0.02,5.24,6,226,2,0,0,0,6.0,False,0,60.0
king_graph_196,Z12,32622,default,1,1.51,3,0.02,5.21,6,226,2,0,0,0,6.0,False,1,60.0
king_graph_196,Z12,32622,default,2,1.464,2,0.02,5.23,6,226,2,0,0,0,6.0,False,0,60.0
king_graph_196,Z12,32622,noclamp,0,1.51,3,0.02,4.96,5,228,3,0,0,0,6.0,False,0,60.0
king_graph_196,Z12,32622,noclamp,1,1.515,3,0.02,4.94,5,228,3,0,0,0,6.0,False,2,60.0
king_graph_196,Z12,32622,noclamp,2,1.52,3,0.02,4.92,5,228,3,0,0,0,6.0,False,1,60.0
K100,P16,,default,0,11.23,16,0.0,0.77,0,0,0,0,0,0,15.0,,0,22.3
K100,P16,,default,1,11.51,17,0.0,0.76,0,0,0,0,0,0,15.0,,0,22.0
K100,P16,,default,2,11.65,17,0.0,0.77,0,0,0,0,0,0,15.0,,0,46.2
K100,P16,,noclamp,0,11.23,16,0.0,0.76,0,0,0,0,0,0,15.0,,0,23.1
K100,P16,,noclamp,1,11.51,17,0.0,0.77,0,0,0,0,0,0,15.0,,0,22.6
