cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,int_acc,int_dec,int_noop,readouts,bm_wall,bm_ro,hier_acc,pair_acc,widen_asked,widen_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,inner,7,2.786,10,6.82,23.03,1,1054,1054,0,597,1055,22.63,1049,0,0,0,0,293,2403.0,30.0,False,0,27,41,False,60.0
ws_n486,Z12,17188,inner,8,2.864,9,7.04,22.84,1,1072,1072,0,673,1073,22.68,1070,0,0,0,0,294,2376.0,27.0,False,0,52,55,False,60.0
ws_n486,Z12,17188,inner,9,2.566,9,9.51,20.42,1,1051,1051,0,574,1052,20.23,1049,0,0,0,0,293,2403.0,30.0,False,1,27,41,False,60.1
ws_n486,Z12,17188,widen,0,2.473,7,8.43,19.87,1,913,913,0,626,914,19.77,910,0,0,434,332,139,2255.0,31.0,False,0,12,26,False,60.0
ws_n486,Z12,17188,widen,1,2.586,9,7.97,20.07,1,981,981,0,937,982,16.96,910,0,0,440,334,139,2255.0,31.0,False,0,12,26,False,60.0
ws_n486,Z12,17188,widen,2,2.586,8,6.5,22.33,1,989,989,0,1029,990,18.39,910,0,0,440,334,139,2255.0,31.0,False,0,12,26,False,60.0
ws_n486,Z12,17188,widen,3,2.794,10,8.8,21.13,1,972,972,0,899,973,18.38,910,0,0,440,334,139,2255.0,31.0,False,1,12,26,False,60.0
ws_n486,Z12,17188,widen,4,2.529,9,5.85,23.31,1,997,997,0,1160,998,18.43,910,0,0,450,338,139,2255.0,31.0,False,0,12,26,False,60.0
ws_n486,Z12,17188,widen,5,2.549,9,6.66,23.08,1,992,992,0,1058,993,18.62,910,0,0,440,334,139,2255.0,31.0,False,0,12,26,False,60.0
ws_n486,Z12,17188,widen,6,2.595,8,5.13,24.79,1,1017,1017,0,1366,1018,18.5,910,0,0,496,352,139,2255.0,31.0,False,0,12,26,False,60.0
ws_n486,Z12,17188,widen,7,2.488,8,0.19,29.74,1,1104,1104,0,1976,1105,18.91,910,0,77,553,375,139,2255.0,31.0,False,1,12,26,False,60.0
ws_n486,Z12,17188,widen,8,2.539,7,0.29,29.66,1,1066,1066,0,1863,1067,19.81,910,0,39,536,370,139,2255.0,31.0,False,0,12,26,False,60.0
ws_n486,Z12,17188,widen,9,3.023,9,0.14,29.77,1,1115,1115,0,2086,1116,17.88,910,0,88,561,378,139,2255.0,31.0,False,0,12,26,False,60.0
grid_200,Z12,1590,plane,0,1.325,3,0.06,25.87,5,535|269|211|7|0,1022,0,7978,1023,12.87,823,0,176,0,0,0,240.0,8.0,True,2,0,0,True,60.0
grid_200,Z12,1590,plane,1,1.43,3,0.06,24.85,5,535|269|211|7|0,1022,0,7978,1023,12.48,823,0,176,0,0,0,240.0,8.0,True,0,0,0,True,60.0
grid_200,Z12,1590,plane,2,1.35,3,0.06,27.68,5,535|269|211|7|0,1022,0,7978,1023,14.04,823,0,176,0,0,0,240.0,8.0,True,1,0,0,True,60.0
grid_200,Z12,1590,inner,0,1.305,3,0.06,25.28,5,535|325|141|3|0,1004,0,7996,1005,7.93,589,0,199,0,0,0,245.0,9.0,True,0,0,0,True,58.7
grid_200,Z12,1590,inner,1,1.345,3,0.06,25.53,5,535|325|141|3|0,1004,0,7996,1005,7.85,589,0,199,0,0,0,245.0,9.0,True,5,0,0,True,60.0
grid_200,Z12,1590,inner,2,1.235,2,0.06,24.71,5,535|325|141|3|0,1004,0,7996,1005,7.25,589,0,199,0,0,0,245.0,9.0,True,0,0,0,True,55.1
