cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,xy_acc,wave_ct,wave_q,wave_stop,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
turan_n162,Z12,2647,wave,0,9.253,12,0.0,29.95,1,203,,203,0,6413,204,0,4.22,204,0,0,0,1,6616,False,0,2598.0,28.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,wave,1,9.593,13,0.0,29.93,1,190,,190,0,6603,191,0,3.12,183,0,0,0,1,6793,False,0,2700.0,32.0,True,0,0,0,True,60.3
turan_n162,Z12,2647,wave,2,9.253,12,0.0,29.93,1,203,,203,0,6820,204,0,4.17,204,0,0,0,1,7023,False,0,2598.0,28.0,True,0,0,0,True,62.7
turan_n162,Z12,2647,wave,3,9.253,12,0.0,29.94,1,203,,203,0,6864,204,0,4.34,204,0,0,0,1,7067,False,0,2598.0,28.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,wave,4,9.222,12,0.0,29.94,1,203,,203,0,6594,204,0,4.14,204,0,0,0,1,6797,False,0,2598.0,28.0,True,0,0,0,True,61.3
turan_n162,Z12,2647,wave,5,9.611,13,0.0,29.94,1,190,,190,0,6283,191,0,3.09,183,0,0,0,1,6473,False,0,2700.0,32.0,True,0,0,0,True,68.6
turan_n162,Z12,2647,wave,6,9.253,12,0.0,29.94,1,203,,203,0,6759,204,0,4.32,204,0,0,0,1,6962,False,0,2598.0,28.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,wave,7,9.611,13,0.0,29.94,1,190,,190,0,6735,191,0,3.17,183,0,0,0,1,6925,False,0,2700.0,32.0,True,0,0,0,True,63.7
turan_n162,Z12,2647,wave,8,9.611,13,0.0,29.94,1,190,,190,0,6227,191,0,3.68,183,0,0,0,1,6417,False,0,2700.0,32.0,True,0,0,0,True,77.0
turan_n162,Z12,2647,wave,9,9.253,12,0.0,29.94,1,203,,203,0,7158,204,0,4.15,204,0,0,0,1,7361,False,0,2598.0,28.0,True,0,0,0,True,62.9
spin_glass_n163,Z12,37309,plane,0,10.859,12,0.8,29.14,1,362,,362,0,7485,363,0,27.09,356,0,73,0,0,0,False,0,3054.0,33.0,True,0,0,0,True,53.7
spin_glass_n163,Z12,37309,plane,1,10.859,12,1.12,28.81,1,362,,362,0,7271,363,0,27.47,356,0,73,0,0,0,False,0,3054.0,33.0,True,0,0,0,True,54.6
spin_glass_n163,Z12,37309,plane,2,10.859,12,1.09,28.85,1,359,,359,0,6888,360,0,28.7,356,0,70,0,0,0,False,0,3054.0,33.0,True,0,0,0,True,54.1
spin_glass_n163,Z12,37309,wave,0,10.859,12,1.05,28.9,1,361,,361,0,7019,362,0,27.82,356,0,72,0,1,7380,False,0,3054.0,33.0,True,0,0,0,True,54.8
