cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
spin_glass_n163,Z12,37309,spectral,2,10.853,12,1.47,28.4,1,340,,340,0,3487,341,0,15.88,334,0,51,0,1,0,3055.0,33.0,True,0,0,0,True,61.0
spin_glass_n163,Z12,37309,trivial,0,10.914,12,0.0,29.89,1,232,,232,0,5794,233,0,28.86,233,0,73,0,1,0,3069.0,31.0,True,0,0,0,True,60.6
spin_glass_n163,Z12,37309,trivial,1,10.92,12,0.0,29.61,1,225,,225,0,4735,226,0,24.68,220,0,66,0,1,0,3072.0,31.0,True,0,0,0,True,60.2
spin_glass_n163,Z12,37309,trivial,2,10.92,12,0.0,29.86,1,224,,224,0,4077,225,0,24.96,220,0,65,0,1,0,3072.0,31.0,True,0,0,0,True,62.3
spin_glass_n163,Z12,37309,landmark,0,10.945,12,0.0,29.86,1,153,,153,0,4526,154,0,6.92,109,0,28,0,1,0,3075.0,35.0,True,0,0,0,True,61.6
spin_glass_n163,Z12,37309,landmark,1,10.945,12,0.0,29.93,1,153,,153,0,4789,154,0,3.25,109,0,28,0,1,0,3075.0,35.0,True,0,0,0,True,65.8
spin_glass_n163,Z12,37309,landmark,2,10.945,12,0.0,29.91,1,153,,153,0,6941,154,0,3.18,109,0,28,0,1,0,3075.0,35.0,True,0,0,0,True,61.8
spin_glass_n163,Z12,37309,random,0,10.859,13,0.0,29.88,1,413,,413,0,4729,414,0,23.34,412,0,110,0,1,0,3049.0,34.0,True,0,0,0,True,60.2
spin_glass_n163,Z12,37309,random,1,10.926,13,0.0,29.74,1,316,,316,0,3253,317,0,21.93,314,0,19,0,1,0,3075.0,32.0,True,0,0,0,True,61.1
spin_glass_n163,Z12,37309,random,2,10.92,13,0.0,29.84,1,388,,388,0,4288,389,0,16.37,370,0,106,0,1,0,3059.0,35.0,True,0,0,0,True,60.1
regular_n316,Z12,13096,spectral,0,2.867,7,1.61,28.31,2,860|42,,902,0,2430,903,0,20.43,757,0,131,0,1,5,1607.0,30.0,True,1,0,2,False,60.4
regular_n316,Z12,13096,spectral,1,2.687,6,1.42,28.45,2,860|193,,1053,0,2978,1054,0,16.6,757,0,131,0,1,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,spectral,2,2.734,6,1.48,28.48,2,860|100,,960,0,2651,961,0,17.09,757,0,131,0,1,5,1607.0,30.0,True,0,0,2,False,60.0
regular_n316,Z12,13096,trivial,0,3.56,9,0.0,29.75,1,1140,,1140,0,1406,1141,0,27.98,1100,0,169,0,1,1,1878.0,32.0,True,0,0,0,True,60.0
