cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,time
regular_n316,Z12,13096,strain,2,2.804,7,7.17,7.91,9,98,5,3,0,3,19.0,False,0,60.3
ws_n486,Z12,17188,default,0,3.337,11,6.01,23.77,22,432,0,0,0,0,435.0,False,2,60.0
ws_n486,Z12,17188,default,1,3.381,12,5.97,23.97,22,440,0,0,0,0,435.0,False,0,60.1
ws_n486,Z12,17188,default,2,2.883,10,0.3,29.64,24,569,0,0,0,0,435.0,False,0,60.0
ws_n486,Z12,17188,default,3,3.016,10,0.3,29.63,24,576,0,0,0,0,435.0,False,0,60.0
ws_n486,Z12,17188,default,4,2.706,9,0.17,29.78,24,568,0,0,0,0,435.0,False,0,60.0
ws_n486,Z12,17188,default,5,3.239,12,0.11,29.82,24,570,0,0,0,0,435.0,False,0,60.0
ws_n486,Z12,17188,default,6,2.698,9,2.19,27.76,24,543,0,0,0,0,435.0,False,0,60.0
ws_n486,Z12,17188,default,7,2.815,10,2.31,27.61,24,536,0,0,0,0,435.0,False,0,60.0
ws_n486,Z12,17188,default,8,2.883,10,0.37,29.57,22,356,0,0,0,0,435.0,False,0,60.0
ws_n486,Z12,17188,default,9,3.027,11,0.22,29.69,22,412,0,0,0,0,435.0,False,1,60.0
ws_n486,Z12,17188,orient,0,2.986,11,0.77,29.23,18,276,8,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,orient,1,3.105,10,0.63,29.29,15,237,7,0,0,0,34.0,False,1,60.0
ws_n486,Z12,17188,orient,2,2.833,9,0.54,29.41,18,265,8,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,orient,3,2.926,10,1.6,28.31,18,289,8,0,0,0,34.0,False,2,60.0
ws_n486,Z12,17188,orient,4,2.772,9,6.76,23.14,15,236,7,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,orient,5,3.093,11,5.27,24.55,18,275,8,0,0,0,34.0,False,1,60.3
ws_n486,Z12,17188,orient,6,2.831,10,9.75,19.87,12,225,6,0,0,0,34.0,False,0,60.1
ws_n486,Z12,17188,orient,7,2.823,10,5.67,24.22,18,310,8,0,0,0,34.0,False,0,60.1
ws_n486,Z12,17188,orient,8,2.673,9,11.05,18.79,18,257,8,0,0,0,34.0,False,1,60.0
ws_n486,Z12,17188,orient,9,2.813,9,10.23,19.36,18,262,8,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,fold,0,2.986,11,9.71,19.98,18,302,8,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,fold,1,2.728,9,8.83,20.93,18,310,8,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,fold,2,2.833,9,8.61,21.2,18,301,8,0,0,0,34.0,False,0,60.0
ws_n486,Z12,17188,fold,3,2.786,9,6.5,23.23,22,367,11,1,0,1,34.0,False,0,60.0
ws_n486,Z12,17188,fold,4,3.019,10,6.63,23.22,19,357,9,0,0,0,34.0,False,2,60.0
ws_n486,Z12,17188,fold,5,2.788,9,5.74,23.67,19,349,9,0,0,0,34.0,False,2,60.0
