cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,tile_acc,proj_iters,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,carry-tile-settle,7,2.508,8,10.33,18.74,1,903,,903,0,139,904,0,9.93,541,0,0,286,4,170,2644.0,24.0,False,1,23,41,False,60.0
ws_n486,Z12,17188,carry-tile-settle,8,2.605,8,10.74,19.03,1,796,,796,0,70,797,0,12.19,541,0,0,286,4,170,2644.0,24.0,False,0,23,41,False,60.0
ws_n486,Z12,17188,carry-tile-settle,9,2.654,9,9.79,18.64,1,980,,980,0,185,981,0,8.64,541,0,0,286,4,170,2644.0,24.0,False,1,23,41,False,60.2
grid_200,Z12,1590,plane,0,1.285,3,0.94,28.31,4,267|282|282|17,,848,0,2362,926,0,0.28,9,0,0,0,1,1,246.0,9.0,True,2,0,0,True,60.1
grid_200,Z12,1590,plane,1,1.095,2,0.94,27.4,4,267|282|282|205,,1036,0,2642,1128,0,1.32,9,0,0,0,1,1,246.0,9.0,True,0,0,0,True,60.0
grid_200,Z12,1590,plane,2,1.135,2,1.17,28.45,6,267|282|282|282|282|199,,1594,0,4186,1726,0,0.33,9,0,0,0,1,1,246.0,9.0,True,0,0,0,True,60.0
grid_200,Z12,1590,carry,0,1.33,3,0.07,29.86,4,535|269|211|7,,1022,0,5522,1023,0,17.24,823,0,176,0,1,0,240.0,8.0,True,1,0,0,True,60.1
grid_200,Z12,1590,carry,1,1.43,3,0.09,29.8,3,535|269|169,,973,0,3481,974,0,25.41,823,0,142,0,1,0,240.0,8.0,True,0,0,0,True,60.1
grid_200,Z12,1590,carry,2,1.35,3,0.07,29.88,3,535|269|169,,973,0,3488,974,0,24.63,823,0,142,0,1,0,240.0,8.0,True,1,0,0,True,60.1
grid_200,Z12,1590,carry-tile,0,1.42,3,0.09,29.81,3,517|476|362,,1355,0,4057,1356,0,16.86,903,0,199,103,1,0,262.0,12.0,True,0,0,0,True,60.1
