cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,pen,int_acc,int_dec,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
ws_n486,Z12,17188,lexint,2,2.465,8,5.86,23.93,0,136,2,0,254|6,0.0,124,1420,32.0,False,0,24,23,False,60.0
ws_n486,Z12,17188,lexint,3,2.638,8,0.79,29.09,0,136,2,0,254|46,0.0,164,2048,28.0,False,0,13,20,False,60.1
ws_n486,Z12,17188,lexint,4,2.556,8,0.56,29.68,0,136,2,0,254|42,0.0,160,1990,30.0,False,0,16,15,False,60.0
ws_n486,Z12,17188,lexint,5,2.663,9,0.88,29.12,0,136,2,0,254|27,0.0,145,1753,30.0,False,0,18,20,False,60.1
ws_n486,Z12,17188,lexint,6,2.691,8,4.36,25.38,0,136,2,0,254|44,0.0,162,2024,29.0,False,0,11,17,False,60.0
ws_n486,Z12,17188,lexint,7,2.784,9,1.85,28.11,0,136,2,0,254|48,0.0,166,2062,29.0,False,0,15,16,False,60.1
ws_n486,Z12,17188,lexint,8,2.49,7,2.84,27.11,0,137,2,0,254|54,0.0,171,2217,30.0,False,0,15,21,False,60.0
ws_n486,Z12,17188,lexint,9,2.566,8,2.21,27.79,0,136,2,0,254|42,0.0,160,1916,30.0,False,0,16,15,False,60.0
grid_200,Z12,1590,default,0,1.055,2,0.48,13.71,,,,,,,,,3.0,False,0,12,24,False,54.3
grid_200,Z12,1590,default,1,1.02,2,0.09,18.61,,,,,,,,,3.0,False,0,12,24,False,49.9
grid_200,Z12,1590,default,2,1.02,2,0.06,13.17,,,,,,,,,3.0,False,0,12,24,False,43.0
grid_200,Z12,1590,seats,0,1.12,2,0.1,23.37,26,9,9,158,42|15|7|1|0|25|8|1|0,2.0,0,0,5.0,False,0,5,27,False,60.0
grid_200,Z12,1590,seats,1,1.07,2,0.09,30.28,26,9,9,158,42|15|7|1|0|25|8|1|0,2.0,0,0,5.0,False,0,5,27,False,60.0
grid_200,Z12,1590,seats,2,1.12,2,0.09,24.12,26,9,9,158,42|15|7|1|0|25|8|1|0,2.0,0,0,5.0,False,0,5,27,False,60.0
grid_200,Z12,1590,seatsint,0,1.045,2,0.06,29.93,0,7,6,0,47|12|13|1|2|0,0.0,65,2407,5.0,False,0,16,27,False,60.0
grid_200,Z12,1590,seatsint,1,1.085,2,0.06,26.8,10,7,8,95,47|12|13|1|2|0|11|0,0.0,65,3222,6.0,False,0,28,39,False,60.0
grid_200,Z12,1590,seatsint,2,1.08,2,0.06,24.61,10,7,8,95,47|12|13|1|2|0|11|0,0.0,65,3222,6.0,False,0,28,39,False,60.0
grid_200,Z12,1590,lex,0,1.165,2,0.07,17.16,38,27,8,206,65|19|6|2|0|51|3|0,0.0,0,0,7.0,False,0,5,14,False,60.0
grid_200,Z12,1590,lex,1,1.215,3,0.07,16.79,38,27,8,206,65|19|6|2|0|51|3|0,0.0,0,0,7.0,False,3,5,14,False,60.0
grid_200,Z12,1590,lex,2,1.18,2,0.06,19.16,38,27,8,206,65|19|6|2|0|51|3|0,0.0,0,0,7.0,False,0,5,14,False,60.0
grid_200,Z12,1590,lexint,0,1.135,2,0.06,22.92,21,15,8,316,54|9|1|0|23|3|1|0,0.0,50,3239,5.0,False,0,7,21,False,60.0
grid_200,Z12,1590,lexint,1,1.085,2,0.1,29.71,21,15,8,316,54|9|1|0|23|3|1|0,0.0,50,3239,5.0,False,0,7,21,False,60.0
grid_200,Z12,1590,lexint,2,1.09,2,0.09,24.43,21,15,8,316,54|9|1|0|23|3|1|0,0.0,50,3239,5.0,False,0,7,21,False,60.0
