cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,width_x,width_y,pmiss,subm,time
grid_200,Z12,1590,subm,0,1.015,2,0.06,5.48,12,292,3,0,0,0,3.0,False,0,,,,False,18.5
grid_200,Z12,1590,subm,1,1.055,2,0.07,5.53,12,292,3,0,0,0,3.0,False,0,,,,False,25.2
grid_200,Z12,1590,subm,2,1.04,2,0.06,5.45,12,292,3,0,0,0,3.0,False,0,,,,False,19.5
grid_200,Z12,1590,unb,0,1.015,2,0.07,5.08,11,220,1,0,0,0,3.0,False,0,11,7,0,False,19.5
grid_200,Z12,1590,unb,1,1.05,2,0.06,5.13,11,220,1,0,0,0,3.0,False,0,11,7,0,False,24.8
grid_200,Z12,1590,unb,2,1.05,2,0.07,5.27,11,220,1,0,0,0,3.0,False,0,11,7,0,False,23.0
grid_200,Z12,1590,both,0,1.015,2,0.06,5.08,11,220,1,0,0,0,3.0,False,0,11,7,0,False,19.1
grid_200,Z12,1590,both,1,1.05,2,0.07,4.99,11,220,1,0,0,0,3.0,False,0,11,7,0,False,24.4
grid_200,Z12,1590,both,2,1.05,2,0.06,5.03,11,220,1,0,0,0,3.0,False,0,11,7,0,False,22.5
honeycomb_200,Z12,32393,default,0,1.09,2,0.05,2.75,9,117,1,0,0,0,8.0,False,0,,,,False,24.5
honeycomb_200,Z12,32393,default,1,1.095,2,0.01,3.01,9,117,1,0,0,0,8.0,False,0,,,,False,25.9
honeycomb_200,Z12,32393,default,2,1.065,2,0.04,3.1,9,117,1,0,0,0,8.0,False,1,,,,False,47.7
honeycomb_200,Z12,32393,subm,0,1.09,2,0.08,3.0,9,117,1,0,0,0,8.0,False,0,,,,False,24.8
honeycomb_200,Z12,32393,subm,1,1.095,2,0.02,2.96,9,117,1,0,0,0,8.0,False,0,,,,False,25.7
honeycomb_200,Z12,32393,subm,2,1.065,2,0.07,2.96,9,117,1,0,0,0,8.0,False,1,,,,False,48.3
honeycomb_200,Z12,32393,unb,0,1.11,2,0.06,3.92,7,116,2,0,0,0,9.0,False,0,8,11,0,False,24.4
