source,instance,target,algorithm,seed,n,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ERd0.3_n160,0,pegasus16_broken,mmfork-cuthill,1,160,0,0,0.0,0,0,198.17668003379367,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-cuthill,2,160,0,0,0.0,0,0,189.722188455984,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-cuthill-fast,0,160,0,0,0.0,0,0,194.11731145600788,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-cuthill-fast,1,160,0,0,0.0,0,0,187.6185972651001,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-cuthill-fast,2,160,0,0,0.0,0,0,194.3146947149653,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-portfolio,0,160,0,0,0.0,0,0,260.02059724205174,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-portfolio,1,160,0,0,0.0,0,0,294.9623747668229,160,3875
ERd0.3_n160,0,pegasus16_broken,mmfork-portfolio,2,160,0,0,0.0,0,0,277.30680119083263,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave-mmfork-cuthill,0,160,0,0,0.0,0,0,182.12415874702856,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave-mmfork-cuthill,1,160,0,0,0.0,0,0,181.17093861103058,160,3875
ERd0.3_n160,0,pegasus16_broken,reweave-mmfork-cuthill,2,160,0,0,0.0,0,0,181.55543625587597,160,3875
ERd0.3_n160,0,zephyr15_broken,minorminer,0,160,1,1,21.5375,35,3446,184.4526232741773,160,3875
ERd0.3_n160,0,zephyr15_broken,minorminer,1,160,1,1,21.50625,36,3441,181.22106220410205,160,3875
ERd0.3_n160,0,zephyr15_broken,minorminer,2,160,1,1,21.0875,36,3374,184.9113805911038,160,3875
ERd0.3_n160,0,zephyr15_broken,minorminer-layout,0,160,1,1,24.075,42,3852,182.9329606341198,160,3875
ERd0.3_n160,0,zephyr15_broken,minorminer-layout,1,160,1,1,22.64375,35,3623,183.60404270002618,160,3875
ERd0.3_n160,0,zephyr15_broken,minorminer-layout,2,160,1,1,21.95625,37,3513,184.33275126083754,160,3875
ERd0.3_n160,0,zephyr15_broken,reweave,0,160,1,1,22.89375,35,3663,182.58606277615763,160,3875
ERd0.3_n160,0,zephyr15_broken,reweave,1,160,1,1,20.54375,34,3287,184.84013393009081,160,3875
ERd0.3_n160,0,zephyr15_broken,reweave,2,160,1,1,22.38125,39,3581,182.79142000200227,160,3875
ERd0.3_n160,0,zephyr15_broken,reweave-thorough,0,160,0,0,0.0,0,0,183.6443116350565,160,3875
ERd0.3_n160,0,zephyr15_broken,reweave-thorough,1,160,0,0,0.0,0,0,180.3494324409403,160,3875
ERd0.3_n160,0,zephyr15_broken,reweave-thorough,2,160,0,0,0.0,0,0,181.7636009999551,160,3875
ERd0.3_n160,0,zephyr15_broken,mmfork-cuthill,0,160,1,1,21.25625,38,3401,183.8840109789744,160,3875
ERd0.3_n160,0,zephyr15_broken,mmfork-cuthill,1,160,1,1,22.63125,35,3621,182.58926817099564,160,3875
