pid,gkey,n,method,eseed,acl,maxchain,chain_rel,mean_e,best_e,chainbreak,gs,p_gs,resid
4,ER_n24_d0.5_g2,24,reweave-thorough,1,2.5833333333333335,3,1.5,-65.928,-70.0,0.1124,-70.0,0.754,0.0582
4,ER_n24_d0.5_g2,24,mmfork-cuthill,0,2.625,4,0.75,-61.004,-64.0,0.1651,-70.0,0.0,0.1285
4,ER_n24_d0.5_g2,24,mmfork-cuthill,0,2.625,4,1.0,-62.504,-64.0,0.1354,-70.0,0.0,0.1071
4,ER_n24_d0.5_g2,24,mmfork-cuthill,0,2.625,4,1.5,-64.144,-70.0,0.1113,-70.0,0.058,0.0837
4,ER_n24_d0.5_g2,24,mmfork-cuthill,1,2.6666666666666665,3,0.75,-67.032,-70.0,0.2201,-70.0,0.728,0.0424
4,ER_n24_d0.5_g2,24,mmfork-cuthill,1,2.6666666666666665,3,1.0,-67.456,-70.0,0.0859,-70.0,0.676,0.0363
4,ER_n24_d0.5_g2,24,mmfork-cuthill,1,2.6666666666666665,3,1.5,-67.332,-70.0,0.0425,-70.0,0.772,0.0381
4,ER_n24_d0.5_g2,24,mmfork-portfolio,0,2.625,4,0.75,-61.004,-64.0,0.1651,-70.0,0.0,0.1285
4,ER_n24_d0.5_g2,24,mmfork-portfolio,0,2.625,4,1.0,-62.504,-64.0,0.1354,-70.0,0.0,0.1071
4,ER_n24_d0.5_g2,24,mmfork-portfolio,0,2.625,4,1.5,-64.144,-70.0,0.1113,-70.0,0.058,0.0837
4,ER_n24_d0.5_g2,24,mmfork-portfolio,1,2.5833333333333335,3,0.75,-56.116,-70.0,0.2977,-70.0,0.284,0.1983
4,ER_n24_d0.5_g2,24,mmfork-portfolio,1,2.5833333333333335,3,1.0,-64.672,-70.0,0.1713,-70.0,0.706,0.0761
4,ER_n24_d0.5_g2,24,mmfork-portfolio,1,2.5833333333333335,3,1.5,-65.928,-70.0,0.1124,-70.0,0.754,0.0582
5,ER_n24_d0.5_g2,24,minorminer,0,2.75,4,0.75,-47.26,-60.0,0.3041,-64.0,0.0,0.2616
5,ER_n24_d0.5_g2,24,minorminer,0,2.75,4,1.0,-46.724,-60.0,0.2737,-64.0,0.0,0.2699
5,ER_n24_d0.5_g2,24,minorminer,0,2.75,4,1.5,-52.028,-60.0,0.1745,-64.0,0.0,0.1871
5,ER_n24_d0.5_g2,24,minorminer,1,2.5833333333333335,3,0.75,-51.988,-60.0,0.2478,-64.0,0.0,0.1877
5,ER_n24_d0.5_g2,24,minorminer,1,2.5833333333333335,3,1.0,-54.092,-64.0,0.214,-64.0,0.002,0.1548
