source,target,algorithm,n,n_seeds,n_success,n_instances,success_rate,acl_mean,acl_ci,acl_std,maxchain_mean,qubits_mean,time_mean,time_mean_ok,time_std,problem_nodes,problem_edges
REGk6_n40,zephyr15_broken,minorminer,40,24,24,8,1.0,1.881,0.051,0.089,3.08,75.2,0.429,0.429,0.113,40,120
REGk6_n40,zephyr15_broken,minorminer-layout,40,24,24,8,1.0,1.943,0.019,0.089,3.17,77.7,1.178,1.178,0.365,40,120
REGk6_n40,zephyr15_broken,mmfork-cuthill,40,24,24,8,1.0,1.901,0.064,0.112,3.04,76.0,0.51,0.51,0.179,40,120
REGk6_n40,zephyr15_broken,mmfork-cuthill-fast,40,24,24,8,1.0,1.901,0.064,0.112,3.04,76.0,0.573,0.573,0.301,40,120
REGk6_n40,zephyr15_broken,mmfork-portfolio,40,24,24,8,1.0,1.77,0.037,0.062,3,70.8,2.712,2.712,0.64,40,120
REGk6_n40,zephyr15_broken,reweave,40,24,24,8,1.0,1.876,0.049,0.087,3.08,75.0,0.545,0.545,0.186,40,120
REGk6_n40,zephyr15_broken,reweave-mmfork-cuthill,40,24,24,8,1.0,1.901,0.064,0.112,3.04,76.0,0.636,0.636,0.167,40,120
REGk6_n40,zephyr15_broken,reweave-thorough,40,24,24,8,1.0,1.796,0.016,0.066,3,71.8,2.153,2.153,0.468,40,120
REGk6_n480,pegasus16_broken,minorminer,480,24,0,0,0.0,,0.0,,,,182.118,,0.737,480,1440
REGk6_n480,pegasus16_broken,minorminer-layout,480,24,0,0,0.0,,0.0,,,,183.01,,0.88,480,1440
REGk6_n480,pegasus16_broken,mmfork-cuthill,480,24,0,0,0.0,,0.0,,,,183.982,,1.112,480,1440
REGk6_n480,pegasus16_broken,mmfork-cuthill-fast,480,24,0,0,0.0,,0.0,,,,182.618,,0.878,480,1440
REGk6_n480,pegasus16_broken,mmfork-portfolio,480,24,0,0,0.0,,0.0,,,,221.981,,5.58,480,1440
REGk6_n480,pegasus16_broken,reweave,480,24,0,0,0.0,,0.0,,,,180.79,,0.22,480,1440
REGk6_n480,pegasus16_broken,reweave-mmfork-cuthill,480,24,0,0,0.0,,0.0,,,,180.619,,0.118,480,1440
REGk6_n480,pegasus16_broken,reweave-thorough,480,24,0,0,0.0,,0.0,,,,181.202,,0.252,480,1440
REGk6_n480,zephyr15_broken,minorminer,480,24,15,7,0.625,10.723,0.09,0.179,30.8,5147.2,140.261,114.715,48.573,480,1440
