source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
ER_n40_d0.7,pegasus_6_broken5,minorminer-layout,5,5,1.0,5.36,0.202,7.4,214.4,1.534,0.336,40,557
ER_n40_d0.7,pegasus_6_broken5,pathfinder,5,5,1.0,5.23,0.142,7.4,209.2,2.038,0.26,40,557
ER_n40_d0.7,pegasus_6_broken5,pathfinder-base,5,5,1.0,5.345,0.183,7.4,213.8,5.926,0.884,40,557
ER_n40_d0.7,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,5.025,0.178,6.6,201,1.893,0.349,40,557
ER_n40_d0.7,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,4.975,0.141,6.6,199,7.83,0.935,40,557
ER_n40_d0.7,zephyr_4,minorminer,5,5,1.0,4.18,0.304,5.6,167.2,0.991,0.276,40,557
ER_n40_d0.7,zephyr_4,minorminer-layout,5,5,1.0,4.285,0.064,6,171.4,0.855,0.194,40,557
ER_n40_d0.7,zephyr_4,pathfinder,5,5,1.0,4.04,0.197,5.4,161.6,1.589,0.183,40,557
ER_n40_d0.7,zephyr_4,pathfinder-base,5,5,1.0,4.09,0.262,5.4,163.6,5.12,0.485,40,557
ER_n40_d0.7,zephyr_4,pathfinder-stacked,5,5,1.0,3.895,0.129,5.4,155.8,1.501,0.352,40,557
ER_n40_d0.7,zephyr_4,pathfinder-thorough,5,5,1.0,3.815,0.08,5,152.6,6.054,0.783,40,557
REG_n30_k4,pegasus_6,minorminer,5,5,1.0,1.373,0.061,2,41.2,0.019,0.004,30,60
REG_n30_k4,pegasus_6,minorminer-layout,5,5,1.0,1.407,0.108,2,42.2,0.043,0.007,30,60
REG_n30_k4,pegasus_6,pathfinder,5,5,1.0,1.373,0.061,2,41.2,0.034,0.014,30,60
REG_n30_k4,pegasus_6,pathfinder-base,5,5,1.0,1.373,0.061,2,41.2,0.11,0.02,30,60
REG_n30_k4,pegasus_6,pathfinder-stacked,5,5,1.0,1.52,0.34,2.8,45.6,0.077,0.012,30,60
REG_n30_k4,pegasus_6,pathfinder-thorough,5,5,1.0,1.313,0.027,2,39.4,0.109,0.008,30,60
REG_n30_k6,pegasus_6,minorminer,5,5,1.0,1.92,0.113,3,57.6,0.063,0.015,30,90
REG_n30_k6,pegasus_6,minorminer-layout,5,5,1.0,1.94,0.044,3,58.2,0.089,0.009,30,90
REG_n30_k6,pegasus_6,pathfinder,5,5,1.0,1.92,0.113,3,57.6,0.083,0.02,30,90
REG_n30_k6,pegasus_6,pathfinder-base,5,5,1.0,1.92,0.113,3,57.6,0.324,0.041,30,90
REG_n30_k6,pegasus_6,pathfinder-stacked,5,5,1.0,1.887,0.065,3,56.6,0.183,0.033,30,90
REG_n30_k6,pegasus_6,pathfinder-thorough,5,5,1.0,1.86,0.065,3,55.8,0.31,0.026,30,90
REG_n40_k4,pegasus_6,minorminer,5,5,1.0,1.515,0.121,2.6,60.6,0.037,0.015,40,80
REG_n40_k4,pegasus_6,minorminer-layout,5,5,1.0,1.48,0.062,2.2,59.2,0.061,0.006,40,80
REG_n40_k4,pegasus_6,pathfinder,5,5,1.0,1.51,0.111,2.6,60.4,0.047,0.015,40,80
REG_n40_k4,pegasus_6,pathfinder-base,5,5,1.0,1.51,0.111,2.6,60.4,0.21,0.074,40,80
REG_n40_k4,pegasus_6,pathfinder-stacked,5,5,1.0,1.465,0.101,2.2,58.6,0.116,0.023,40,80
REG_n40_k4,pegasus_6,pathfinder-thorough,5,5,1.0,1.355,0.043,2.2,54.2,0.18,0.021,40,80
REG_n40_k6,pegasus_6,minorminer,5,5,1.0,2.105,0.128,3.4,84.2,0.107,0.031,40,120
REG_n40_k6,pegasus_6,minorminer-layout,5,5,1.0,2.135,0.228,3.2,85.4,0.215,0.069,40,120
REG_n40_k6,pegasus_6,pathfinder,5,5,1.0,2.09,0.121,3.4,83.6,0.131,0.035,40,120
REG_n40_k6,pegasus_6,pathfinder-base,5,5,1.0,2.09,0.121,3.4,83.6,0.762,0.177,40,120
REG_n40_k6,pegasus_6,pathfinder-stacked,5,5,1.0,2.155,0.053,3.2,86.2,0.304,0.041,40,120
REG_n40_k6,pegasus_6,pathfinder-thorough,5,5,1.0,1.945,0.033,3,77.8,0.578,0.058,40,120
