source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.5,pegasus_6_broken5,reweave,4,1,1,2.3,3,46,0.15203987499990035,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-thorough,0,1,1,2.3,3,46,0.47762375000093016,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-thorough,1,1,1,2.15,3,43,0.5617923749996407,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-thorough,2,1,1,2.25,3,45,0.6626916249988426,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-thorough,3,1,1,2.25,3,45,0.660347749999346,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-thorough,4,1,1,2.2,3,44,0.7761257089987339,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-stacked,0,1,1,2.25,3,45,0.20035020900104428,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-stacked,1,1,1,2.25,3,45,0.20498541699998896,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-stacked,2,1,1,2.7,4,54,0.13198449999981676,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-stacked,3,1,1,2.15,3,43,0.17160512500049663,20,103
ER_n20_d0.5,pegasus_6_broken5,reweave-stacked,4,1,1,2.35,3,47,0.16102783400128828,20,103
ER_n20_d0.5,zephyr_4,minorminer,0,1,1,1.95,3,39,0.12881424999795854,20,103
ER_n20_d0.5,zephyr_4,minorminer,1,1,1,1.95,3,39,0.0584786660001555,20,103
ER_n20_d0.5,zephyr_4,minorminer,2,1,1,2.0,3,40,0.10806125000090105,20,103
ER_n20_d0.5,zephyr_4,minorminer,3,1,1,2.0,3,40,0.10384195799997542,20,103
ER_n20_d0.5,zephyr_4,minorminer,4,1,1,1.9,3,38,0.09504791699873749,20,103
ER_n20_d0.5,zephyr_4,minorminer-layout,0,1,1,1.9,3,38,0.09062149999954272,20,103
ER_n20_d0.5,zephyr_4,minorminer-layout,1,1,1,1.85,3,37,0.09985404100007145,20,103
ER_n20_d0.5,zephyr_4,minorminer-layout,2,1,1,2.05,3,41,0.07903866700144135,20,103
ER_n20_d0.5,zephyr_4,minorminer-layout,3,1,1,1.95,3,39,0.07442000000082771,20,103
ER_n20_d0.5,zephyr_4,minorminer-layout,4,1,1,1.95,3,39,0.09435841700178571,20,103
ER_n20_d0.5,zephyr_4,reweave-base,0,1,1,1.95,3,39,0.412404124999739,20,103
ER_n20_d0.5,zephyr_4,reweave-base,1,1,1,1.95,3,39,0.36113516699697357,20,103
ER_n20_d0.5,zephyr_4,reweave-base,2,1,1,2.0,3,40,0.3863182909990428,20,103
ER_n20_d0.5,zephyr_4,reweave-base,3,1,1,2.0,3,40,0.4315457500015327,20,103
ER_n20_d0.5,zephyr_4,reweave-base,4,1,1,1.9,3,38,0.37233445899983053,20,103
