cell,instance,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,2,zephyr_4,reweave-stacked,0,1,1,1.55,2,31,0.5886562999803573,20,64
ER_n20_d0.3,2,zephyr_4,reweave-stacked,1,1,1,2.15,3,43,0.16105330199934542,20,64
ER_n20_d0.3,2,zephyr_4,reweave-stacked,2,1,1,2.1,4,42,0.43008903693407774,20,64
ER_n20_d0.3,2,zephyr_4,mmfork-cuthill,0,1,1,1.5,2,30,0.2175182888749987,20,64
ER_n20_d0.3,2,zephyr_4,mmfork-cuthill,1,1,1,1.45,2,29,0.1477455880958587,20,64
ER_n20_d0.3,2,zephyr_4,mmfork-cuthill,2,1,1,1.4,2,28,0.03249181597493589,20,64
ER_n20_d0.3,2,zephyr_4,mmfork-portfolio,0,1,1,1.4,2,28,0.9803161160089076,20,64
ER_n20_d0.3,2,zephyr_4,mmfork-portfolio,1,1,1,1.4,2,28,0.6990752720739692,20,64
ER_n20_d0.3,2,zephyr_4,mmfork-portfolio,2,1,1,1.35,2,27,1.5325161470100284,20,64
ER_n20_d0.3,2,zephyr_4,reweave-mmfork-cuthill,0,1,1,1.5,2,30,0.3838076691608876,20,64
ER_n20_d0.3,2,zephyr_4,reweave-mmfork-cuthill,1,1,1,1.45,2,29,0.05982730188407004,20,64
