topo,n,p,inst_seed,arm,family,algo_seed,switch_val,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,140,0.07194244604316546,103,tree-sph,tree,14,2,SUCCESS,1,7.7286,7.5786,15,1082,4.7871,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,4,4.0,SUCCESS,1,7.4929,7.2214,15,1049,15.838,689,
P16,140,0.07194244604316546,103,boltz-8.0,root,14,8.0,SUCCESS,1,8.05,7.75,16,1127,4.7254,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,9,4.0,SUCCESS,1,7.6214,7.3571,15,1067,11.0832,689,
P16,140,0.07194244604316546,104,tree-sph,tree,0,2,SUCCESS,1,8.3786,8.1929,16,1173,4.9799,718,
P16,140,0.07194244604316546,103,boltz-8.0,root,11,8.0,SUCCESS,1,7.5,7.3429,15,1050,9.428,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,2,4.0,SUCCESS,1,7.4143,7.1,14,1038,19.2137,689,
P16,140,0.07194244604316546,103,beta-dhat,beta,13,4.0,SUCCESS,1,7.5857,7.2857,14,1062,7.1856,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,7,2.0,SUCCESS,1,7.1857,7.0357,14,1006,14.0539,689,
P16,140,0.07194244604316546,102,beta-dhat,beta,9,4.0,SUCCESS,1,7.3357,7.1,15,1027,29.2435,693,
P16,140,0.07194244604316546,103,beta-16.0,beta,13,16.0,SUCCESS,1,7.2714,7.0286,15,1018,7.8952,689,
P16,140,0.07194244604316546,104,tree-sph,tree,2,2,SUCCESS,1,8.0,7.8357,15,1120,4.5242,718,
P16,140,0.07194244604316546,103,boltz-2.0,root,13,2.0,SUCCESS,1,8.1786,7.7929,18,1145,8.4025,689,
P16,140,0.07194244604316546,103,boltz-2.0,root,12,2.0,SUCCESS,1,6.9714,6.7214,14,976,10.7381,689,
P16,140,0.07194244604316546,104,boltz-8.0,root,1,8.0,SUCCESS,1,7.9643,7.7,16,1115,6.0194,718,
P16,140,0.07194244604316546,104,boltz-2.0,root,1,2.0,SUCCESS,1,8.1286,7.7,16,1138,6.8852,718,
P16,140,0.07194244604316546,103,beta-dhat,beta,12,4.0,SUCCESS,1,7.5357,7.3214,15,1055,11.7132,689,
P16,140,0.07194244604316546,103,beta-16.0,beta,10,16.0,SUCCESS,1,7.5857,7.3786,15,1062,13.7658,689,
P16,140,0.07194244604316546,104,boltz-2.0,root,3,2.0,SUCCESS,1,8.1571,7.9071,16,1142,5.7272,718,
P16,140,0.07194244604316546,103,beta-16.0,beta,9,16.0,SUCCESS,1,7.5214,7.2643,14,1053,14.9604,689,
P16,140,0.07194244604316546,104,boltz-8.0,root,3,8.0,SUCCESS,1,8.6714,8.3643,17,1214,6.0357,718,
P16,140,0.07194244604316546,104,tree-sph,tree,3,2,SUCCESS,1,8.1071,7.9786,17,1135,6.5506,718,
P16,140,0.07194244604316546,104,boltz-2.0,root,0,2.0,SUCCESS,1,7.8357,7.5214,15,1097,9.34,718,
P16,140,0.07194244604316546,104,tree-sph,tree,1,2,SUCCESS,1,7.3214,7.1929,14,1025,8.9854,718,
P16,140,0.07194244604316546,104,stock,stock,2,,SUCCESS,1,8.1571,7.8714,16,1142,8.308,718,
P16,140,0.07194244604316546,103,beta-dhat,beta,8,4.0,SUCCESS,1,7.5643,7.2857,15,1059,17.2634,689,
P16,140,0.07194244604316546,104,boltz-2.0,root,2,2.0,SUCCESS,1,7.9643,7.7143,16,1115,7.9409,718,
P16,140,0.07194244604316546,104,stock,stock,0,,SUCCESS,1,7.5357,7.2214,15,1055,10.169,718,
P16,140,0.07194244604316546,103,stock,stock,14,,SUCCESS,1,7.15,6.9643,14,1001,11.6866,689,
P16,140,0.07194244604316546,104,boltz-8.0,root,4,8.0,SUCCESS,1,8.2,7.9071,15,1148,5.4967,718,
P16,140,0.07194244604316546,104,tree-sph,tree,4,2,SUCCESS,1,8.0357,7.85,17,1125,6.5093,718,
P16,140,0.07194244604316546,103,beta-16.0,beta,14,16.0,SUCCESS,1,7.2429,7.0214,15,1014,10.8615,689,
P16,140,0.07194244604316546,104,beta-16.0,beta,2,16.0,SUCCESS,1,8.1571,7.8714,16,1142,8.3824,718,
P16,140,0.07194244604316546,104,boltz-8.0,root,5,8.0,SUCCESS,1,8.8714,8.5357,17,1242,4.8424,718,
P16,140,0.07194244604316546,104,tree-sph,tree,5,2,SUCCESS,1,8.3643,8.1286,18,1171,5.2266,718,
P16,140,0.07194244604316546,104,boltz-8.0,root,2,8.0,SUCCESS,1,7.6786,7.4357,16,1075,8.8341,718,
P16,140,0.07194244604316546,103,beta-dhat,beta,10,4.0,SUCCESS,1,6.8214,6.6571,14,955,16.0859,689,
P16,140,0.07194244604316546,104,stock,stock,3,,SUCCESS,1,7.7857,7.45,15,1090,8.7353,718,
P16,140,0.07194244604316546,104,beta-16.0,beta,3,16.0,SUCCESS,1,7.7429,7.4857,16,1084,7.9861,718,
P16,140,0.07194244604316546,104,beta-dhat,beta,1,4.0,SUCCESS,1,8.0929,7.8,17,1133,10.3348,718,
P16,140,0.07194244604316546,103,boltz-2.0,root,14,2.0,SUCCESS,1,6.9429,6.8143,13,972,12.7372,689,
P16,140,0.07194244604316546,104,boltz-8.0,root,0,8.0,SUCCESS,1,7.6429,7.3929,14,1070,12.4298,718,
P16,140,0.07194244604316546,104,beta-16.0,beta,0,16.0,SUCCESS,1,7.8429,7.5214,15,1098,12.4196,718,
P16,140,0.07194244604316546,104,boltz-2.0,root,6,2.0,SUCCESS,1,8.3143,7.9714,16,1164,5.9912,718,
P16,140,0.07194244604316546,104,boltz-2.0,root,4,2.0,SUCCESS,1,7.6786,7.4214,15,1075,8.5733,718,
P16,140,0.07194244604316546,104,stock,stock,4,,SUCCESS,1,8.0286,7.65,17,1124,9.3477,718,
P16,140,0.07194244604316546,103,boltz-8.0,root,13,8.0,SUCCESS,1,7.2786,7.0214,15,1019,14.9042,689,
P16,140,0.07194244604316546,104,stock,stock,5,,SUCCESS,1,7.95,7.7571,15,1113,8.4797,718,
P16,140,0.07194244604316546,104,tree-sph,tree,6,2,SUCCESS,1,8.0071,7.7857,17,1121,7.0641,718,
P16,140,0.07194244604316546,104,beta-dhat,beta,3,4.0,SUCCESS,1,8.1714,7.8429,16,1144,10.1578,718,
P16,140,0.07194244604316546,104,tree-sph,tree,7,2,SUCCESS,1,8.0571,7.8857,18,1128,5.3635,718,
P16,140,0.07194244604316546,104,beta-dhat,beta,4,4.0,SUCCESS,1,7.5857,7.3429,16,1062,9.1553,718,
P16,140,0.07194244604316546,104,stock,stock,1,,SUCCESS,1,7.9071,7.6143,16,1107,13.9244,718,
P16,140,0.07194244604316546,104,beta-16.0,beta,5,16.0,SUCCESS,1,7.95,7.7571,15,1113,8.4919,718,
