topo,n,p,inst_seed,arm,algo_seed,budget,status,success,acl,acl_spur,max_chain,qubits,wall,n_edges,err
P16,180,0.1,103,audit2,4,15.0,SUCCESS,1,18.8,17.6778,39,3384,15.1159,1609,
P16,180,0.1,102,audit2,4,60.0,SUCCESS,1,16.1278,15.3556,30,2903,56.4273,1575,
P16,180,0.1,103,dirty,4,15.0,SUCCESS,1,18.6778,17.2333,34,3362,15.3596,1609,
P16,180,0.1,102,audit2,4,180.0,SUCCESS,1,16.1278,15.3556,30,2903,55.994,1575,
P16,180,0.1,103,stock,2,60.0,SUCCESS,1,15.2889,14.4056,27,2752,36.8489,1609,
P16,180,0.1,104,stock,0,15.0,SUCCESS,1,17.0444,16.1278,34,3068,15.4645,1624,
P16,180,0.1,103,audit1,3,60.0,SUCCESS,1,17.0944,16.1722,35,3077,29.8528,1609,
P16,180,0.1,104,audit1,0,15.0,SUCCESS,1,17.4833,16.5389,39,3147,15.5585,1624,
P16,180,0.1,104,stock,1,5.0,SUCCESS,1,20.4833,18.8556,42,3687,5.2992,1624,
P16,180,0.1,103,stock,2,180.0,SUCCESS,1,15.2889,14.4056,27,2752,37.1025,1609,
P16,180,0.1,103,audit1,3,180.0,SUCCESS,1,17.0944,16.1722,35,3077,29.8255,1609,
P16,180,0.1,103,dirty,2,60.0,SUCCESS,1,15.2889,14.4056,27,2752,37.9407,1609,
P16,180,0.1,104,audit2,1,5.0,SUCCESS,1,20.1389,18.8667,41,3625,5.0339,1624,
P16,180,0.1,104,audit2,0,15.0,SUCCESS,1,17.2833,16.0944,34,3111,15.4345,1624,
P16,180,0.1,104,audit1,1,5.0,SUCCESS,1,20.1778,18.7556,48,3632,5.1353,1624,
P16,180,0.1,104,dirty,0,15.0,SUCCESS,1,17.0444,16.1278,34,3068,15.0446,1624,
P16,180,0.1,104,dirty,1,5.0,SUCCESS,1,20.4833,18.8556,42,3687,5.3193,1624,
P16,180,0.1,103,dirty,2,180.0,SUCCESS,1,15.2889,14.4056,27,2752,38.2201,1609,
P16,180,0.1,103,audit2,2,60.0,SUCCESS,1,16.2889,15.3333,30,2932,41.8489,1609,
P16,180,0.1,103,audit2,3,60.0,SUCCESS,1,16.8056,15.8611,31,3025,34.479,1609,
P16,180,0.1,103,audit2,3,180.0,SUCCESS,1,16.8056,15.8611,31,3025,34.3934,1609,
P16,180,0.1,103,audit2,2,180.0,SUCCESS,1,16.2889,15.3333,30,2932,41.9244,1609,
P16,180,0.1,104,stock,2,5.0,SUCCESS,1,20.7944,19.1556,44,3743,5.0562,1624,
P16,180,0.1,104,audit1,2,5.0,SUCCESS,1,21.7278,20.1056,53,3911,5.1482,1624,
P16,180,0.1,104,audit2,2,5.0,SUCCESS,1,21.2833,19.75,44,3831,5.2251,1624,
P16,180,0.1,104,dirty,2,5.0,SUCCESS,1,20.3333,18.7667,43,3660,5.3431,1624,
P16,180,0.1,103,stock,3,60.0,SUCCESS,1,16.3278,15.3611,29,2939,42.9437,1609,
P16,180,0.1,103,dirty,4,60.0,SUCCESS,1,16.9278,15.7833,30,3047,31.1105,1609,
