topo,n,p,inst_seed,arm,base_seed,K,per_run_s,status,success,n_success,acl,acl_spur,max_chain,qubits,time,err
Z12,100,0.3,101,mm-bo12x5,3,12,5.0,SUCCESS,1,12,10.21,9.41,17,1021,62.9371,
Z12,100,0.3,101,mm-bo3x20,4,3,20.0,SUCCESS,1,3,9.21,8.65,14,921,59.8,
Z12,100,0.3,104,mm-bo1x60,0,1,60.0,SUCCESS,1,1,9.25,8.57,14,925,16.8894,
Z12,100,0.3,101,mm-bo6x10,4,6,10.0,SUCCESS,1,6,9.55,8.97,16,955,61.5815,
Z12,100,0.3,102,mm-bo3x20,1,3,20.0,SUCCESS,1,3,9.29,8.65,15,929,55.4895,
Z12,100,0.3,101,mm-bo12x5,4,12,5.0,SUCCESS,1,12,10.08,9.39,17,1008,63.4685,
Z12,100,0.3,102,mm-bo6x10,0,6,10.0,SUCCESS,1,6,9.26,8.69,15,926,61.2647,
Z12,100,0.3,104,mm-bo1x60,3,1,60.0,SUCCESS,1,1,10.38,9.61,16,1038,11.8281,
Z12,100,0.3,102,mm-bo12x5,0,12,5.0,SUCCESS,1,12,9.7,9.04,17,970,62.9086,
Z12,100,0.3,104,mm-bo1x60,2,1,60.0,SUCCESS,1,1,9.65,8.93,15,965,17.7356,
Z12,100,0.3,102,mm-bo6x10,1,6,10.0,SUCCESS,1,6,9.19,8.64,15,919,61.2092,
Z12,100,0.3,102,mm-bo3x20,2,3,20.0,SUCCESS,1,3,9.21,8.53,15,921,60.4272,
Z12,100,0.3,102,mm-bo6x10,2,6,10.0,SUCCESS,1,6,9.43,8.78,14,943,61.1617,
Z12,100,0.3,102,mm-bo12x5,1,12,5.0,SUCCESS,1,12,10.14,9.39,17,1014,62.7952,
Z12,100,0.3,102,mm-bo3x20,3,3,20.0,SUCCESS,1,3,9.05,8.62,14,905,60.5596,
Z12,100,0.3,102,mm-bo12x5,2,12,5.0,SUCCESS,1,12,10.12,9.36,18,1012,63.0085,
Z12,100,0.3,103,mm-bo3x20,0,3,20.0,SUCCESS,1,3,9.22,8.49,15,922,51.1359,
Z12,100,0.3,102,mm-bo3x20,4,3,20.0,SUCCESS,1,3,9.1,8.63,14,910,59.7759,
Z12,100,0.3,102,mm-bo6x10,3,6,10.0,SUCCESS,1,6,9.52,8.88,15,952,61.7271,
Z12,100,0.3,102,mm-bo12x5,3,12,5.0,SUCCESS,1,12,10.06,9.26,17,1006,63.2359,
Z12,100,0.3,105,mm-bo1x60,0,1,60.0,SUCCESS,1,1,10.3,9.51,17,1030,13.6837,
Z12,100,0.3,102,mm-bo6x10,4,6,10.0,SUCCESS,1,6,9.51,8.85,15,951,61.8727,
Z12,100,0.3,103,mm-bo1x60,4,1,60.0,SUCCESS,1,1,8.7,8.28,13,870,42.0606,
