topo,n,p,inst_seed,base_seed,mode,status,success,acl,acl_spur,max_chain,qubits,wall,winner,n_edges,err,arm_meta
P16,100,0.3,102,4,race8-seq,SUCCESS,1,9.12,9.12,10,912,60.456,template[0]@template,1451,,"{""final_survivor"":7,""elapsed_s"":60.456,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r2"",11.94],""2"":[""mm"",""dropped:r1"",13.75],""3"":[""mm"",""dropped:r1"",12.02],""4"":[""mm"",""dropped:r1"",12.73],""5"":[""cuthill"",""dropped:r2"",11.54],""6"":[""clmm"",""survivor"",9.75],""7"":[""clmm-core"",""final"",9.46]}}"
P16,100,0.3,102,4,bestof8-seq,SUCCESS,1,11.74,11.04,19,1174,60.1983,mm[run3],1451,,"{""per_run_s"":7.5,""accs"":[12.13,12.21,12.74,11.74,12.44,12.28,12.07,12.07]}"
P16,100,0.3,102,4,bestof8-par,SUCCESS,1,10.79,10.32,17,1079,28.3807,mm[run0],1451,,"{""per_run_s"":60.0,""accs"":[10.79,11.58,11.5,11.05,12.44,11.51,12.2,11.24],""used_s"":[28.4,15.5,25.1,23.5,10.8,21.3,13.7,23.4]}"
P16,100,0.3,102,4,race8-par,SUCCESS,1,9.12,9.12,10,912,60.1203,template[0]@template,1451,,"{""final_survivor"":7,""elapsed_s"":60.12,""arms"":{""0"":[""template"",""floor"",9.12],""1"":[""mm"",""dropped:r2"",11.94],""2"":[""mm"",""dropped:r1"",13.75],""3"":[""mm"",""dropped:r1"",12.02],""4"":[""mm"",""dropped:r1"",12.73],""5"":[""cuthill"",""dropped:r2"",11.54],""6"":[""clmm"",""dropped:r3"",9.74],""7"":[""clmm-core"",""final"",9.41]}}"
P16,100,0.3,103,1,race8-seq,SUCCESS,1,9.11,9.11,10,911,60.2513,template[0]@template,1480,,"{""final_survivor"":7,""elapsed_s"":60.251,""arms"":{""0"":[""template"",""floor"",9.11],""1"":[""mm"",""dropped:r1"",17.46],""2"":[""mm"",""dropped:r1"",13.67],""3"":[""mm"",""dropped:r1"",12.69],""4"":[""mm"",""dropped:r2"",12.62],""5"":[""cuthill"",""dropped:r2"",11.81],""6"":[""clmm"",""survivor"",9.78],""7"":[""clmm-core"",""final"",9.4]}}"
P16,100,0.3,103,1,bestof8-seq,SUCCESS,1,11.79,11.04,18,1179,60.4052,mm[run4],1480,,"{""per_run_s"":7.5,""accs"":[12.0,13.38,12.14,12.15,11.79,12.6,12.88,12.25]}"
P16,100,0.3,103,1,bestof8-par,SUCCESS,1,11.06,10.49,17,1106,32.492,mm[run5],1480,,"{""per_run_s"":60.0,""accs"":[11.48,11.19,11.46,11.57,11.79,11.06,11.68,11.94],""used_s"":[25.9,32.5,23.7,19.6,15.2,28.8,23.5,13.0]}"
P16,100,0.3,103,1,race8-par,SUCCESS,1,9.11,9.11,10,911,60.4179,template[0]@template,1480,,"{""final_survivor"":7,""elapsed_s"":60.417,""arms"":{""0"":[""template"",""floor"",9.11],""1"":[""mm"",""dropped:r1"",17.46],""2"":[""mm"",""dropped:r1"",13.67],""3"":[""mm"",""dropped:r1"",12.69],""4"":[""mm"",""dropped:r2"",12.62],""5"":[""cuthill"",""dropped:r2"",11.61],""6"":[""clmm"",""dropped:r3"",9.75],""7"":[""clmm-core"",""final"",9.35]}}"
P16,100,0.3,103,0,race8-seq,SUCCESS,1,9.11,9.11,10,911,60.4418,template[0]@template,1480,,"{""final_survivor"":7,""elapsed_s"":60.442,""arms"":{""0"":[""template"",""floor"",9.11],""1"":[""mm"",""dropped:r2"",13.16],""2"":[""mm"",""dropped:r2"",12.21],""3"":[""mm"",""dropped:r1"",17.35],""4"":[""mm"",""dropped:r1"",17.24],""5"":[""cuthill"",""dropped:r1"",13.64],""6"":[""clmm"",""survivor"",9.73],""7"":[""clmm-core"",""final"",9.3]}}"
P16,100,0.3,103,0,bestof8-seq,SUCCESS,1,12.2,11.35,19,1220,60.3558,mm[run2],1480,,"{""per_run_s"":7.5,""accs"":[12.7,13.08,12.2,12.51,12.6,12.42,12.67,13.81]}"
P16,100,0.3,103,0,bestof8-par,SUCCESS,1,11.08,10.41,17,1108,42.4446,mm[run1],1480,,"{""per_run_s"":60.0,""accs"":[12.0,11.08,11.67,11.68,11.84,11.13,12.67,11.65],""used_s"":[33.0,42.4,19.2,17.6,19.3,26.5,7.0,27.3]}"
