topo,n,p,inst_seed,assignment,status,acl_pre,acl_spur,obj_sim,qubits,time,detail,err
P16,140,0.2,103,rand-00,SUCCESS,13.8286,12.4429,1766,1742,0.0848,,
P16,140,0.2,103,rand-01,SUCCESS,13.8286,12.4071,1772,1737,0.0881,,
P16,140,0.2,103,rand-02,SUCCESS,13.8286,12.5929,1799,1763,0.082,,
P16,140,0.2,103,rand-03,SUCCESS,13.8286,12.5714,1790,1760,0.092,,
P16,140,0.2,103,rand-04,SUCCESS,13.8286,12.5786,1792,1761,0.0885,,
P16,140,0.2,103,rand-05,SUCCESS,13.8286,12.5429,1781,1756,0.0858,,
P16,140,0.2,103,rand-06,SUCCESS,13.8286,12.5286,1781,1754,0.0835,,
P16,140,0.2,103,rand-07,SUCCESS,13.8286,12.5357,1790,1755,0.089,,
P16,140,0.2,103,rand-08,SUCCESS,13.8286,12.4643,1768,1745,0.0841,,
P16,140,0.2,103,rand-09,SUCCESS,13.8286,12.4857,1785,1748,0.0999,,
P16,140,0.2,103,rand-10,SUCCESS,13.8286,12.5071,1787,1751,0.1139,,
P16,140,0.2,103,rand-11,SUCCESS,13.8286,12.6143,1806,1766,0.0954,,
P16,140,0.2,103,rand-12,SUCCESS,13.8286,12.4786,1776,1747,0.0841,,
P16,140,0.2,103,rand-13,SUCCESS,13.8286,12.5286,1792,1754,0.0823,,
P16,140,0.2,103,rand-14,SUCCESS,13.8286,12.5214,1780,1753,0.1158,,
P16,140,0.2,103,rand-15,SUCCESS,13.8286,12.4571,1773,1744,0.0945,,
P16,140,0.2,103,rand-16,SUCCESS,13.8286,12.5214,1773,1753,0.0894,,
P16,140,0.2,103,rand-17,SUCCESS,13.8286,12.35,1755,1729,0.0844,,
P16,140,0.2,103,rand-18,SUCCESS,13.8286,12.5429,1792,1756,0.0813,,
P16,140,0.2,103,rand-19,SUCCESS,13.8286,12.4857,1769,1748,0.0792,,
P16,140,0.2,103,rand-20,SUCCESS,13.8286,12.5071,1773,1751,0.0875,,
P16,140,0.2,103,rand-21,SUCCESS,13.8286,12.5857,1786,1762,0.098,,
P16,140,0.2,103,rand-22,SUCCESS,13.8286,12.5,1774,1750,0.0857,,
P16,140,0.2,103,rand-23,SUCCESS,13.8286,12.5714,1777,1760,0.0619,,
P16,140,0.2,103,rand-24,SUCCESS,13.8286,12.5571,1801,1758,0.0998,,
P16,140,0.2,103,rand-25,SUCCESS,13.8286,12.4571,1779,1744,0.0869,,
P16,140,0.2,103,rand-26,SUCCESS,13.8286,12.5071,1793,1751,0.0871,,
P16,140,0.2,103,rand-27,SUCCESS,13.8286,12.4643,1767,1745,0.0817,,
P16,140,0.2,103,rand-28,SUCCESS,13.8286,12.5214,1788,1753,0.0899,,
P16,140,0.2,103,rand-29,SUCCESS,13.8286,12.5071,1775,1751,0.0851,,
P16,140,0.2,103,rand-30,SUCCESS,13.8286,12.55,1787,1757,0.085,,
P16,140,0.2,103,rand-31,SUCCESS,13.8286,12.4929,1779,1749,0.0832,,
Z12,100,0.3,101,identity,SUCCESS,8.0,7.72,773,772,0.0248,,
Z12,100,0.3,101,cuthill,SUCCESS,8.0,7.5,754,750,0.0224,,
Z12,100,0.3,101,spectral,SUCCESS,8.0,7.54,757,754,0.0493,,
